the_geom,sysid,sum_min,num_trip,lat,lng,sysname,year,assigned_month,pct_ttl_num_trips,bin_num_trip,mar_ind,sysorder,may_ind,dateStr,dateTxt,display,sysname_alt,yroverchange,yroverchange_bin,trip_type
POINT (-72.673371 40.909849),3,55724739.2,4092159,40.909849,-72.673371,"CitiBike (New York, NY)",2023,7,0.649300664,4,1,1,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",0.075902894,1,1
POINT (-122.410143 37.773833),42,2999392.333,248644,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,2,0.095434794,3,1,2,1,01/29/23 through 02/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",0.019567642,1,1
POINT (-74.039894 40.724851),9999,867151.85,82009,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,5,0.017797192,1,1,6,1,04/30/23 through 05/27/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",0.186764685,1,1
POINT (-71.0588801 42.3600825),1,0,0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,1,,,1,5,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",,,9999
POINT (-77.0368707 38.9071923),56,5562031.167,331832,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2023,5,0.072012559,3,0,3,1,04/30/23 through 05/27/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",0.239506486,1,1
POINT (-79.9849659685496 40.4454577489795),29,0,0,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,6,,,0,11,1,05/28/23 through 06/24/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",,,2
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,1,,,1,6,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,9999
POINT (-82.9987942 39.9611755),58,21392.78333,1153,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2023,7,0.004064424,1,1,8,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",0.103349282,1,2
POINT (-71.0588801 42.3600825),1,0,0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,4,,,1,5,1,03/26/23 through 04/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",,,2
POINT (-82.9987942 39.9611755),58,45399.85,2948,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2023,11,0.000729045,1,1,8,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",0.276743179,2,1
POINT (-82.9987942 39.9611755),58,139714.3333,6730,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2023,6,0.001378514,1,1,8,1,05/28/23 through 06/24/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",0.106180145,1,1
POINT (-87.6297982 41.8781136),60,615221.45,58638,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2023,11,0.347262197,4,1,4,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",0.050483698,1,2
POINT (-97.7492916839957 30.2703327863944),53,502740,40023,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2023,9,0.006243401,1,0,12,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",-0.123724657,-1,1
POINT (-122.410143 37.773833),42,180601,13626,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,1,0.444046145,4,1,2,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.480716463,-2,9999
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,3,,,0,10,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,1
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2023,8,,,0,12,1,07/30/23 through 08/26/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,2
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2023,8,,,1,1,1,07/30/23 through 08/26/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,2
POINT (-75.1652215 39.9525839),43,1454822,113399,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2023,10,0.021624173,1,0,7,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",0.373667507,2,1
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2023,4,,,0,12,1,03/26/23 through 04/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,2
POINT (-79.9849659685496 40.4454577489795),29,165639.4333,18004,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,12,0.005249759,1,0,11,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",3.655805534,4,1
POINT (-118.2436849 34.0522342),73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,1,,,1,9,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,9999
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,10,,,1,6,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,9999
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,7,,,1,6,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,9999
POINT (-77.0368707 38.9071923),56,4034851.817,281913,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2023,11,0.069717493,3,0,3,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",0.221158553,1,1
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2023,11,,,1,1,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,2
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,3,,,0,10,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,9999
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,9,,,0,13,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,2
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2023,10,,,0,12,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,9999
POINT (-82.9987942 39.9611755),58,24706.25,1895,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2023,12,0.00055256,1,1,8,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",0.772684752,4,1
POINT (-87.6297982 41.8781136),60,997748.7167,85901,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2023,10,0.3773977,4,1,4,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",-0.032166839,-1,2
POINT (-71.0588801 42.3600825),1,3577441.85,250950,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,11,0.062060298,3,1,5,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",-0.127755417,-1,1
POINT (-118.2436849 34.0522342),73,986294,45090,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,7,0.007154406,1,1,9,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",0.331384534,2,1
POINT (-118.2436849 34.0522342),73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,8,,,1,9,1,07/30/23 through 08/26/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,2
