sysid,sum_min,num_trip,pct_ttl_num_trips,yroverchange,year,assigned_month
9999,0,0,0,0,2019,10
9999,0,0,0,0,2019,10
9999,310807.2333,37205,0.011142304,,2019,10
74,133177.1333,6946,0.002080216,,2019,10
74,131833.4167,8877,0.927392394,,2019,10
74,67869.93333,4386,0.358773006,,2019,10
73,3471,282,0.023067485,,2019,10
73,435487,27640,0.008277739,,2019,10
73,17742,695,0.072607606,,2019,10
60,0,0,0,0,2019,10
60,0,0,0,0,2019,10
60,4575546.083,312976,0.09373132,,2019,10
58,0,0,0,0,2019,10
58,0,0,0,0,2019,10
58,45683.95,2303,0.000689712,,2019,10
56,0,0,0,0,2019,10
56,4266195.483,292321,0.087545477,,2019,10
56,0,0,0,0,2019,10
54,0,0,0,0,2019,10
54,0,0,0,0,2019,10
54,164091.21,6289,0.001883455,,2019,10
53,0,0,0,0,2019,10
53,0,0,0,0,2019,10
53,137685,7294,0.002184437,,2019,10
43,0,0,0,0,2019,10
43,0,0,0,0,2019,10
43,1039339,68955,0.020650923,,2019,10
4,0,0,0,0,2019,10
4,1114.9,3,0.002617587,,2019,10
4,5183099.933,422986,0.12667756,,2019,10
29,0,0,0,0,2019,10
29,134772,7657,0.002293149,,2019,10
29,0,0,0,0,2019,10
25,96131.45,7525,0.615541922,,2019,10
25,0,0,0,0,2019,10
25,283250.5833,17968,0.005381129,,2019,10
3,0,0,0,0,2019,10
3,0,0,0,0,2019,10
3,25019511.2,1859077,0.556763907,,2019,10
1,0,0,0,0,2019,10
1,3926313.883,269459,0.080698672,,2019,10
1,0,0,0,0,2019,10
9999,0,0,0,0,2019,11
9999,213788.8333,28260,0.012041663,,2019,11
9999,0,0,0,0,2019,11
74,47692.21667,3281,0.66417004,,2019,11
74,101731.0167,5719,0.002436881,,2019,11
74,98427.45,7106,0.887362637,,2019,11
73,320507,23002,0.009801215,,2019,11
73,1843,125,0.025303644,,2019,11
73,11053,406,0.050699301,,2019,11
60,0,0,0,0,2019,11
60,0,0,0,0,2019,11
60,1957895.233,163845,0.069814799,,2019,11
58,0,0,0,0,2019,11
58,0,0,0,0,2019,11
58,13627.68333,1019,0.000434199,,2019,11
56,2587992.533,202561,0.086311791,,2019,11
56,0,0,0,0,2019,11
56,0,0,0,0,2019,11
54,0,0,0,0,2019,11
54,0,0,0,0,2019,11
54,85893.56,3345,0.001425314,,2019,11
53,101310,5102,0.002173976,,2019,11
53,0,0,0,0,2019,11
53,0,0,0,0,2019,11
43,707106,49984,0.021298318,,2019,11
43,0,0,0,0,2019,11
43,0,0,0,0,2019,11
4,26164.43333,1534,0.310526316,,2019,11
4,4046765.5,341138,0.145359827,,2019,11
4,5933,496,0.061938062,,2019,11
29,64651,4283,0.001824998,,2019,11
29,0,0,0,0,2019,11
29,0,0,0,0,2019,11
25,0,0,0,0,2019,11
25,0,0,0,0,2019,11
25,0,0,0,0,2019,11
3,0,0,0,0,2019,11
3,16403536.3,1347424,0.57414102,,2019,11
3,0,0,0,0,2019,11
1,2226147.667,171170,0.072936001,,2019,11
1,0,0,0,0,2019,11
1,0,0,0,0,2019,11
9999,147665.7667,19702,0.011564901,,2019,12
9999,0,0,0,0,2019,12
9999,0,0,0,0,2019,12
74,71988.8,4267,0.002504692,,2019,12
74,37691.3,2528,0.065874505,,2019,12
74,78647.05,5740,0.296717498,,2019,12
73,12826,489,0.02527785,,2019,12
73,313334,22513,0.013214933,,2019,12
73,2079,146,0.003804461,,2019,12
60,1889515.9,154344,0.090598573,,2019,12
60,0,0,0,0,2019,12
60,0,0,0,0,2019,12
58,12742.18333,921,0.000540619,,2019,12
58,0,0,0,0,2019,12
58,0,0,0,0,2019,12
56,0,0,0,0,2019,12
56,2008590.883,161077,0.094550784,,2019,12
56,0,0,0,0,2019,12
54,89646.15,3173,0.001862523,,2019,12
54,0,0,0,0,2019,12
54,0,0,0,0,2019,12
53,108405,4723,0.00277236,,2019,12
53,0,0,0,0,2019,12
53,0,0,0,0,2019,12
43,490339,34420,0.020204238,,2019,12
43,0,0,0,0,2019,12
43,0,0,0,0,2019,12
4,2952805.867,250334,0.14694386,,2019,12
4,456209.2667,35702,0.930321034,,2019,12
4,159930.8,13116,0.678004652,,2019,12
29,0,0,0,0,2019,12
29,42455,2708,0.001589572,,2019,12
